Title,Abstract
London Jewish Forum,"

Established in 2006, The London Jewish Forum (LJF) is dedicated to the promotion of Jewish life in London.[1] The Forum provides a platform for engagement between London Jewry and the Greater London Authority, Mayor's Office, London Boroughs and MPs / MEPs. 
"
The London Studios,"The London Studios (also known as The South Bank Studios, The London Television Centre, ITV Towers,  Kent House and LWT Tower) in Waterloo, Central London was a television studio complex owned by ITV plc and originally built for London Weekend Television. The studios were located in Central London, on the South Bank next to the IBM Building and the Royal National Theatre.  The building was set on 2.5 acres of land and was 24 floors high.  The London Studios closed on 30 April 2018. Many ITV programmes now come from BBC Studioworks' facility at the former BBC Television Centre, White City, London.
The facilities were the main studios for ITV, along with a number of  production companies including ITV Studios and Shiver based in Kent House tower, while the  studios were home to many entertainment, game and daytime shows. These included Good Morning Britain, The Graham Norton Show, Ant & Dec's Saturday Night Takeaway and The Jonathan Ross Show. The studios were also used for other programmes from various other channels including BBC Television and Channel 4. ITV Creative, which promotes programmes on the ITV network, was also based at the London Studios.
"
West Norwood,"West Norwood is a largely residential area of south London within the London Borough of Lambeth, located 5.4 miles (8.7 km) south south-east of Charing Cross.
The centre of West Norwood sits in a bowl surrounded by hillsides on its east, west and south sides.  From many parts of the area, distant views can be seen, of places such as the City of London, Canary Wharf and Crystal Palace.
In March 2016 planning permission was granted to build a new 4 screen Picturehouse Cinema and cafe in Nettlefold Hall, which had previously closed in 2011. The new complex opened in November 2018 and additionally re-homes the council library service back to Nettlefold Hall.
The West Norwood Feast, a monthly community market running across several areas of West Norwood, has been active since 2011. Featuring music, stalls and community events, the feast has been hugely popular. 
West Norwood Health and Leisure Centre was opened in 2014. This is located on Devane Way, and offers leisure facilities including a full sized swimming pool, gym, dance studio, community space as well as health resources, both GP and dental.
West Norwood includes some or all of three Wards of the London Borough of Lambeth - Gipsy Hill, Knights Hill and Thurlow Park. Each of these wards is represented on Lambeth Council by three councillors.[1]
"
East Ham,"East Ham is a district of the London Borough of Newham, England, 8 miles (12.8 km) east of Charing Cross.[2] East Ham is identified in the London Plan as a Major Centre. The population is 76,186.
"
Sherlock Holmes Museum,"The Sherlock Holmes Museum is a privately run museum in London, England, dedicated to the famous fictional detective Sherlock Holmes. It is the world's first museum dedicated to the literary character Sherlock Holmes. It opened in 1990 and is situated in Baker Street, bearing the number 221B by permission of the City of Westminster,[1] although it lies between numbers 237 and 241,[2] near the north end of Baker Street in central London close to Regent's Park.[3][4]
The Georgian town house which the museum occupies as ""221B Baker Street"" was built in 1815 and was formerly used as a boarding house from 1860 to 1936, and covers the period of 1881 to 1904 when the stories describe Sherlock Holmes and Doctor Watson residing there as tenants of Mrs Hudson.  The house is listed Grade 2 by the Government because of its special architectural and historical features. The museum features exhibits items from several different adaptations of Sherlock Holmes, and recreations of scenes from the 1984 Granada Television series Sherlock Holmes.
"
Anglo-Saxon Chronicle,"The Anglo-Saxon Chronicle is a collection of annals in Old English chronicling the history of the Anglo-Saxons. The original manuscript of the Chronicle was created late in the 9th century, probably in Wessex, during the reign of Alfred the Great (r. 871–899). Multiple copies were made of that one original and then distributed to monasteries across England, where they were independently updated. In one case, the Chronicle was still being actively updated in 1154.
Nine manuscripts survive in whole or in part, though not all are of equal historical value and none of them is the original version. The oldest seems to have been started towards the end of Alfred's reign, while the most recent was written at Peterborough Abbey after a fire at that monastery in 1116. Almost all of the material in the Chronicle is in the form of annals, by year; the earliest are dated at 60 BC (the annals' date for Caesar's invasions of Britain), and historical material follows up to the year in which the chronicle was written, at which point contemporary records begin. These manuscripts collectively are known as the Anglo-Saxon Chronicle.
The Chronicle is not unbiased: there are occasions when comparison with other medieval sources makes it clear that the scribes who wrote it omitted events or told one-sided versions of stories; there are also places where the different versions contradict each other. Taken as a whole, however, the Chronicle is the single most important historical source for the period in England between the departure of the Romans and the decades following the Norman conquest. Much of the information given in the Chronicle is not recorded elsewhere. In addition, the manuscripts are important sources for the history of the English language; in particular, the later Peterborough text is one of the earliest examples of Middle English in existence.
Seven of the nine surviving manuscripts and fragments reside in the British Library. The other two are in the Bodleian Library at Oxford and the Parker Library of Corpus Christi College, Cambridge.
"
English country house,"An English country house is a large house or mansion in the English countryside. Such houses were often owned by individuals who also owned a town house. This allowed them to spend time in the country and in the city—hence, for these people, the term distinguished between town and country. However, the term also encompasses houses that were, and often still are, the full-time residence for the landed gentry that ruled rural Britain until the Reform Act 1832.[1] Frequently, the formal business of the counties was transacted in these country houses.
With large numbers of indoor and outdoor staff, country houses were important as places of employment for many rural communities. In turn, until the agricultural depressions of the 1870s, the estates, of which country houses were the hub, provided their owners with incomes. However, the late 19th and early 20th centuries were the swansong of the traditional English country house lifestyle. Increased taxation and the effects of World War I led to the demolition of hundreds of houses; those that remained had to adapt to survive.
While a château or a Schloss can be a fortified or unfortified building, a country house, similar to an Ansitz, is usually unfortified. If fortified, it is called a castle, but not all buildings with the name ""castle"" are fortified (for example Highclere Castle).
"
Royal Parks of London,"The Royal Parks of London are lands originally owned by the monarchy of the United Kingdom for the recreation, mostly hunting, of the royal family.[1] They are part of the hereditary possessions of The Crown.
"
Woodford Green,"Woodford Green is an affluent district of Redbridge in  London, England. Historically part of Essex, it was absorbed into Greater London in 1965 and is mainly in the London Borough of Redbridge, with a small part in the London Borough of Waltham Forest. Woodford Green adjoins South Woodford to the south, and Woodford Bridge, Woodford Wells (and beyond it, Buckhurst Hill) to the north, towards Epping Forest and Highams Park to the west.
Woodford Green's postcode, IG8, is within the Ilford postcode area. Nearby are the areas of Walthamstow and Chigwell as well as major retail hubs Ilford and Stratford.
"
"Victoria Park, London","Victoria Park (known colloquially as Vicky Park or the People's Park) is a park in the London Borough of Tower Hamlets in East London, England. It is the largest park in Tower Hamlets and one of London's most visited green spaces with approximately 9 million visitors every year.[1] The park spans 86.18 hectares (213.0 acres) of open space[1] and opened to the public in 1845.
"
N postcode area,"Postcode district boundaries: The N (Northern) postcode area, also known as the London N postcode area,[2] is the part of the London post town covering part of North London, England.
The area covers parts of the London Boroughs of Hackney, Islington, Camden, Barnet, Haringey and Enfield.
"
London Overground,".mw-parser-output .RMbox{box-shadow:0 2px 2px 0 rgba(0,0,0,.14),0 1px 5px 0 rgba(0,0,0,.12),0 3px 1px -2px rgba(0,0,0,.2)}.mw-parser-output .RMinline{float:none;width:100%;margin:0;border:none}.mw-parser-output table.routemap{padding:0;border:0;border-collapse:collapse;background:transparent;white-space:nowrap;line-height:1.2;margin:auto}.mw-parser-output table.routemap .RMcollapse{margin:0;border-collapse:collapse;vertical-align:middle}.mw-parser-output table.routemap .RMreplace{margin:0;border-collapse:collapse;vertical-align:middle;position:absolute;bottom:0}.mw-parser-output table.routemap .RMsi{display:inline;font-size:90%}.mw-parser-output table.routemap .RMl1{padding:0 3px;text-align:left}.mw-parser-output table.routemap .RMr1{padding:0 3px;text-align:right}.mw-parser-output table.routemap .RMl{text-align:right}.mw-parser-output table.routemap .RMr{text-align:left}.mw-parser-output table.routemap .RMl4{padding:0 3px 0 0;text-align:left}.mw-parser-output table.routemap .RMr4{padding:0 0 0 3px;text-align:right}.mw-parser-output table.routemap>tbody>tr{line-height:1}.mw-parser-output table.routemap>tbody>tr>td,.mw-parser-output table.RMcollapse>tbody>tr>td,.mw-parser-output table.RMreplace>tbody>tr>td{padding:0;width:auto;vertical-align:middle;text-align:center}.mw-parser-output .RMir>div{display:inline-block;vertical-align:middle;padding:0;height:20px;min-height:20px}.mw-parser-output .RMir img{height:initial!important;max-width:initial!important}.mw-parser-output .RMir .RMov{position:relative}.mw-parser-output .RMir .RMov .RMic,.mw-parser-output .RMir .RMov .RMtx{position:absolute;left:0;top:0;padding:0}.mw-parser-output .RMir .RMtx{line-height:20px;height:20px;min-height:20px;vertical-align:middle;text-align:center}.mw-parser-output .RMir .RMsp{height:20px;min-height:20px}.mw-parser-output .RMir .RMtx>abbr,.mw-parser-output .RMir .RMtx>div{line-height:.975;display:inline-block;vertical-align:middle}.mw-parser-output .RMir .RMts{font-size:10px;transform:scaleX(.89)}.mw-parser-output .RMir .RMf_{height:5px;min-height:5px;width:20px;min-width:20px}.mw-parser-output .RMir .RMfm{height:100%;min-height:100%;width:4px;min-width:4px;margin:0 auto}.mw-parser-output .RMir .RMo{width:2.5px;min-width:2.5px}.mw-parser-output .RMir .RMc{width:5px;min-width:5px}.mw-parser-output .RMir .RMoc{width:7.5px;min-width:7.5px}.mw-parser-output .RMir .RMd{width:10px;min-width:10px}.mw-parser-output .RMir .RMod{width:12.5px;min-width:12.5px}.mw-parser-output .RMir .RMcd{width:15px;min-width:15px}.mw-parser-output .RMir .RMocd{width:17.5px;min-width:17.5px}.mw-parser-output .RMir .RM_{width:20px;min-width:20px}.mw-parser-output .RMir .RM_o{width:22.5px;min-width:22.5px}.mw-parser-output .RMir .RM_c{width:25px;min-width:25px}.mw-parser-output .RMir .RM_oc{width:27.5px;min-width:27.5px}.mw-parser-output .RMir .RM_d{width:30px;min-width:30px}.mw-parser-output .RMir .RM_od{width:32.5px;min-width:32.5px}.mw-parser-output .RMir .RM_cd{width:35px;min-width:35px}.mw-parser-output .RMir .RM_ocd{width:37.5px;min-width:37.5px}.mw-parser-output .RMir .RMb{width:40px;min-width:40px}.mw-parser-output .RMir .RMcb{width:45px;min-width:45px}.mw-parser-output .RMir .RMdb{width:50px;min-width:50px}.mw-parser-output .RMir .RMcdb{width:55px;min-width:55px}.mw-parser-output .RMir .RM_b{width:60px;min-width:60px}.mw-parser-output .RMir .RM_cb{width:65px;min-width:65px}.mw-parser-output .RMir .RM_db{width:70px;min-width:70px}.mw-parser-output .RMir .RM_cdb{width:75px;min-width:75px}.mw-parser-output .RMir .RMs{width:80px;min-width:80px}.mw-parser-output .RMir .RMds{width:90px;min-width:90px}.mw-parser-output .RMir .RM_s{width:100px;min-width:100px}.mw-parser-output .RMir .RM_ds{width:110px;min-width:110px}.mw-parser-output .RMir .RMbs{width:120px;min-width:120px}.mw-parser-output .RMir .RMdbs{width:130px;min-width:130px}.mw-parser-output .RMir .RM_bs{width:140px;min-width:140px}.mw-parser-output .RMir .RM_dbs{width:150px;min-width:150px}.mw-parser-output .RMir .RMw{width:160px;min-width:160px}.mw-parser-output .RMir .RM_w{width:180px;min-width:180px}.mw-parser-output .RMir .RMbw{width:200px;min-width:200px}.mw-parser-output .RMir .RM_bw{width:220px;min-width:220px}.mw-parser-output .RMir .RMsw{width:240px;min-width:240px}.mw-parser-output .RMir .RM_sw{width:260px;min-width:260px}.mw-parser-output .RMir .RMbsw{width:280px;min-width:280px}.mw-parser-output .RMir .RM_bsw{width:300px;min-width:300px}
London Overground  (also known simply as the Overground) is a suburban rail network serving London and its environs. Established in 2007 to take over Silverlink Metro routes,[4] it now serves a large part of the city as well as the home county of Hertfordshire, with 112 stations  on nine different routes. It is complementary to the London Underground.
The Overground forms part of the United Kingdom's National Rail network but it is under the concession control and branding of Transport for London. Operation has been contracted to Arriva Rail London since 2016. TfL assigned orange as a mode-specific colour for the Overground in branding and publicity including the roundel, on the Tube map, trains and stations.[5]
Rail services in Great Britain are mostly run under franchises operated by private train operating companies, marketed together as National Rail.[6]
The concept of developing a network of orbital services around London goes back to the independently produced Ringrail proposals in the early 1970s.[7] Some of these were evaluated in the London Rail Study of 1974[8] (the Barren Report) and Barren suggested consideration of a North London Network of orbital services, based on a later suggestion by the Ringrail Group, which involved using many existing rail routes, rather than the new construction suggested in earlier drafts of the Ringrail Plan.
The proposal from Barren was for several overlapping services mainly using the North London line, generally at 20-minute intervals.[7] The suggested routes followed the original North London line service from Broad Street to Richmond, new services from Barking to Clapham Junction, and a third service from Ealing Broadway to North Woolwich. However, the Wilson government's continuing antipathy to the railways,[citation needed] along with British Rail's management's lack of interest in minor local train services, meant that few of these initiatives were carried forward.
In 1979, the then Greater London Council (GLC) decided to sponsor an improved service from Camden Road, on the North London line, to North Woolwich, opening up a previously freight-only line between Dalston and Stratford and linking it to an improved Stratford – North Woolwich service. This was given the marketing name 'Crosstown Linkline'[9][10], and operated with basic two-car diesel multiple units.
The next initiative came from the GLC in 1984, when the government supported the Broadgate development that would entail the demolition of Broad Street station. The closure process was convoluted because of problems in making alternative arrangements for the North London line, and the remaining services operating from Watford Junction to the City. These eventually ran to and from Liverpool Street via a new section of track, the Graham Road Curve.
Nevertheless, the new Richmond to North Woolwich service quickly settled down, but British Rail made a serious management error in replacing the existing three-car Class 501 electric trains (built 1957)[11] with slightly newer but shorter two-car Class 416 electric trains (built 1959[12]), which quickly became overcrowded. In 1988, by reorganising and reducing services on the Great Northern routes from Moorgate, about 18 relatively modern Class 313 dual-voltage electric trains were transferred to operate the North London and Watford services, from both Euston and Liverpool Street.
Several voluntary sector groups, the Railway Development Society (RDS, later Railfuture), Transport 2000's then London groups, and the Capital Transport Campaign, launched a series of leaflets and briefings promoting a concept called Outer Circle. This name had once been used for a semi-circular service from Broad Street to Mansion House, which ceased during World War I.
The pamphlets and briefings, first issued in 1997, initially suggested a route from Clapham Junction to the Greenwich Peninsula, intended to improve access from south London to the Millennium Dome. However, this was thwarted by architect Richard Rogers[citation needed] who considered that a railway route on a viaduct could cause ""community severance"",[citation needed] and so the Victorian brick viaduct was demolished. Nothing further happened to develop this network until after the new Greater London Authority (GLA) was launched in 2000. But the lobbying discreetly continued, with a series of short briefings published by one RDS member based in North London. Mayoral and GLA candidates were approached to discuss the viability of the Outer Circle concept. The principle was widely supported and was adopted into the first Mayor's Transport Plan, published in 2001.
"
"Redhill, Surrey","Redhill (/ˈrɛdhɪl/) is a town in the borough of Reigate and Banstead within the county of Surrey, England. The town, which adjoins the town of Reigate to the west, is due south of Croydon in Greater London, and is part of the London commuter belt. The town is also the post town, entertainment and commercial area of three adjoining communities: Merstham, Earlswood and Whitebushes, as well as of two small rural villages to the east in the Tandridge District, Bletchingley and Nutfield.
"
List of largest cities throughout history,"This article lists the largest cities or urban areas by estimated population in history. Many of the figures are uncertain, especially in ancient times.
"
London Southend Airport,"London Southend Airport (IATA: SEN, ICAO: EGMC) is an international airport in Southend-on-Sea in Essex, England, approximately 36 miles (58 km) from the centre of London.[3]
Southend was London's third-busiest airport from the 1960s until the end of the 1970s, when it was overtaken in passenger numbers by London Stansted Airport.[4][5] Following its purchase by Stobart Group in 2008,[5] a development programme[6][7][8] provided a new terminal[9] and control tower,[10] extended runway,[11] and connection to central London via a regular rail service running between Liverpool Street Station and Southend Airport Station on the Shenfield–Southend line, continuing on to Southend Victoria.[10]
"
Wikipedia:Please clarify,"The aim of this page is to describe ways to clarify text or request such clarification. There are inline cleanup tags to flag specific wording that is likely to be confusing to the average reader.
"
London Bridge station,"London Bridge is a central London railway terminus and connected London Underground station in Southwark, south-east London. It occupies a large area on three levels immediately south-east of London Bridge, from which it takes its name. The main line station is the oldest railway station in London fare zone 1 and one of the oldest in the world having opened in 1836. It is one of two main line termini in London to the south of the River Thames (the other being Waterloo) and is the fourth-busiest station in London, handling over 50 million customers a year.
The station was originally opened by the London and Greenwich Railway as a local service. It subsequently served the London and Croydon Railway, the London and Brighton Railway and the South Eastern Railway, thus becoming an important London terminus. It was rebuilt in 1849 and again in 1864 to provide more services and increase capacity. Local services from London Bridge began to be electrified in the beginning of the 20th century, and had spread to national routes by the 1930s. The station was extensively rebuilt by British Rail during the 1970s, along with a comprehensive re-signalling scheme and track alignment. It was further redeveloped in the 2010s to better accommodate the Thameslink route which provides a connection to Gatwick Airport, Luton Airport and Crossrail.
London Bridge is served by Southeastern services from Charing Cross and Cannon Street to destinations in southeast London, Kent and East Sussex and is a terminus for many Southern commuter and regional services to south London and numerous destinations in South East England. Thameslink services from Bedford, Cambridge and Peterborough to Brighton and other destinations in Sussex and Kent began serving the station in 2018.
"
Telephone numbering plan,"A telephone numbering plan is a type of numbering scheme used in telecommunication to assign telephone numbers to subscriber telephones or other telephony endpoints.[1] Telephone numbers are the addresses of participants in a telephone network, reachable by a system of destination code routing. Telephone numbering plans are defined in each of administrative regions of the public switched telephone network (PSTN) and they are also present in private telephone networks. For public number systems, geographic location plays a role in the sequence of numbers assigned to each telephone subscriber.
Many numbering plans subdivide their territory of service into geographic regions designated by a prefix, often called an area code or city code, which is a set of digits forming the most-significant part of the dialing sequence to reach a telephone subscriber.
Numbering plans may follow a variety of design strategies which have often arisen from the historical evolution of individual telephone networks and local requirements. A broad division is commonly recognized between closed numbering plans, such as found in North America,[2] which feature fixed-length area codes and local numbers, while open numbering plans feature a variance in the length of the area code, local number, or both of a telephone number assigned to a subscriber line.
The International Telecommunication Union (ITU) has established a comprehensive numbering plan, designated E.164, for uniform interoperability of the networks of its member state or regional administrations. It is an open numbering plan, however, imposing a maximum length of 15 digits to telephone numbers. The standard defines a country calling code (country code) for each state or region which is prefixed to each national numbering plan telephone number for international destination routing.
Private numbering plans exist in telephone networks that are privately operated in an enterprise or organizational campus. Such systems may be supported by a private branch exchange (PBX), which provides a central access point to the PSTN and also controls internal calls between telephone extensions.
In contrast to numbering plans, which determine telephone numbers assigned to subscriber stations, dialing plans establish the customer dialing procedures, i.e., the sequence of digits or symbols to be dialed to reach a destination. It is the manner in which the numbering plan is used. Even in closed numbering plans, it is not always necessary to dial all digits of a number. For example, an area code may often be omitted when the destination is in the same area as the calling station.
"
The Cure,"The Cure are an English rock band formed in Crawley, West Sussex, in 1978.[1][2][3] The band members have changed several times, with guitarist, lead vocalist and songwriter Robert Smith the only constant member. The band's debut album was Three Imaginary Boys (1979) and this, along with several early singles, placed the band in the post-punk and new wave movements that had sprung up in the wake of the punk rock revolution in the United Kingdom. Beginning with their second album, Seventeen Seconds (1980), the band adopted a new, increasingly dark and tormented style, which, together with Smith's stage look, had a strong influence on the emerging genre of gothic rock as well as the subculture that eventually formed around the genre.
Following the release of the album Pornography in 1982, the band's future was uncertain. Smith was keen to move past the gloomy reputation his band had acquired, introducing a greater pop sensibility into the band's music. Songs such as ""Let's Go to Bed"" (1982), ""Just Like Heaven"" (1987), ""Lovesong"" (1989), and ""Friday I'm in Love"" (1992) aided the band in receiving commercial popularity. The band have released 13 studio albums, two EPs and over 30 singles to date.
The Cure were inducted into the Rock and Roll Hall of Fame in 2019.[4][5]
"
Cambridge,"Cambridge (/ˈkeɪmbrɪdʒ/[2] KAYM-brij) is a university city and the county town of Cambridgeshire, England, on the River Cam approximately 50 miles (80 km) north of London. At the United Kingdom Census 2011, its population was 123,867 including 24,506 students.[1][3] Cambridge became an important trading centre during the Roman and Viking ages, and there is archaeological evidence of settlement in the area as early as the Bronze Age. The first town charters were granted in the 12th century, although modern city status was not officially conferred until 1951.
The University of Cambridge was founded in 1209.[4] The buildings of the university include King's College Chapel, Cavendish Laboratory, and the Cambridge University Library, one of the largest legal deposit libraries in the world. The city's skyline is dominated by several college buildings, along with the spire of the Our Lady and the English Martyrs Church, and the chimney of Addenbrooke's Hospital. Anglia Ruskin University, which evolved from the Cambridge School of Art and the Cambridgeshire College of Arts and Technology, also has its main campus in the city.
Cambridge is at the heart of the high-technology Silicon Fen with industries such as software and bioscience and many start-up companies born out of the university. Over 40 per cent of the workforce have a higher education qualification, more than twice the national average. The Cambridge Biomedical Campus, one of the largest biomedical research clusters in the world, is soon to house premises of AstraZeneca, a hotel, and the relocated Papworth Hospital.[5]
The first game of association football took place at Parker's Piece. The Strawberry Fair music and arts festival and Midsummer Fair are held on Midsummer Common, and the annual Cambridge Beer Festival takes place on Jesus Green. The city is adjacent to the M11 and A14 roads. Cambridge station is less than an hour from London King's Cross railway station.
"
Harlow,"Harlow is a town and local government district in the west of Essex, England. A new town, situated on the border with Hertfordshire and London, Harlow occupies a large area of land on the south bank of the upper Stort Valley, which has been made navigable through other towns and features a canal section near its watermill. Old Harlow is a village-size suburb founded by the early medieval age and most of its high street buildings are early Victorian and residential, mostly protected by one of the Conservation Areas in the district. In Old Harlow is a field named Harlowbury, a de-settled monastic area which has the remains of a chapel, a scheduled ancient monument.
The M11 motorway passes through the east of the district, entirely to the east of the town. Harlow has its own commercial and leisure economy. It is also an outer part of the London commuter belt and employment centre of the M11 corridor which includes Cambridge and London Stansted Airport to the north. At the time of the 2011 Census, Harlow's population was recorded at 81,944 and its district had the third-highest proportion of social housing in England, 26.9%,[citation needed] a legacy of the 1947 commitment to re-house blitzed London families after World War II and provide a percentage of homes for other needy families who cannot afford market rents.
"
Royal Philharmonic Orchestra,"

The Royal Philharmonic Orchestra (RPO), based in London, is a British Orchestra that was formed by Sir Thomas Beecham in 1946. In its early days, the orchestra secured profitable recording contracts and important engagements including the Glyndebourne Festival Opera and the concerts of the Royal Philharmonic Society. After Beecham's death in 1961 the orchestra's fortunes declined steeply; it battled for survival until the mid-1960s, when its future was secured after an Arts Council report recommended that it should receive public subsidy; a further crisis arose in the same era when it seemed that the orchestra's right to call itself ""Royal"" could be withdrawn.
Since Beecham's death, the RPO has had seven chief conductors, including Rudolf Kempe, Antal Doráti, André Previn and Vladimir Ashkenazy. Others closely associated with the orchestra have included Sir Charles Groves, Sir Charles Mackerras, Peter Maxwell Davies, Yehudi Menuhin and Leopold Stokowski.
In 2004, the orchestra acquired its first permanent London base, at the new Cadogan Hall in Chelsea. The RPO also gives concerts at the Royal Festival Hall, the Royal Albert Hall and venues around the UK and other countries. From its earliest days, the orchestra has been active in the recording studios, making film soundtracks and numerous gramophone recordings; many of the LP recordings conducted by Beecham and others have been reissued on compact disc.
"
